,Acc
0,0.7142857142857143
1,0.5714285714285714
2,0.8571428571428571
3,0.7142857142857143
4,0.8571428571428571
5,0.5714285714285714
6,0.7142857142857143
7,0.7142857142857143
8,1.0
9,0.7142857142857143
10,1.0
11,1.0
12,0.7142857142857143
13,0.8571428571428571
14,0.7142857142857143
15,0.7142857142857143
16,0.5714285714285714
17,0.42857142857142855
18,0.7142857142857143
19,0.7142857142857143
